"Name","Syntax","Pipeline","CodeStyle","BreakContinue","DeprecatedVerbostyCommands"
"Update-SqlPermissions","True","False","False","False",
"Get-SqlSaLogin","True","False","False","False",
"Remove-SqlDatabase","True","False","False","False",
"Test-DbaDeprecation","True","False","False","False",
"Write-Message","True","False","False","False",
"Invoke-TagCommand","True","False","False","False",
"Test-DbaRestoreVersion","True","False","False","False",
"Invoke-ManagedComputerCommand","True","False","False","False",
"Start-DbccCheck","True","False","False","False",
"Get-XpDirTreeRestoreFile","True","False","False","False",
"Update-SqlDbReadOnly","True","False","False","False",
"Test-ComputerTarget","True","False","False","False",
"Get-OfflineSqlFileStructure","True","False","False","False",
"Get-SqlDefaultSpConfigure","True","False","False","False",
"Get-SaLoginName","True","False","False","False",
"Test-HostOSLinux","True","False","False","False",
"Connect-SqlServer","True","False","False","False",
"Test-SqlLoginAccess","True","False","False","False",
"Select-DefaultView","True","False","False","False",
"Test-DbaLsnChain","True","False","False","False",
"Stop-Function","True","False","False",,
"Join-AdminUnc","True","False","False","False",
"Resolve-NetBiosName","True","False","False","False",
"Get-FilteredRestoreFile","True","False","False","False",
"Write-Exception","True","False","False","False",
"Invoke-SmoCheck","True","False","False","False",
"Register-DbaConfigHandler","True","False","False","False",
"Get-DirectoryRestoreFile","True","False","False","False",
"Get-SqlDefaultPaths","True","False","False","False",
"Get-SqlFileStructure","True","False","False","False",
"Connect-AsServer","True","False","False","False",
"Get-SmoServerForDynamicParams","True","False","False","False",
"Test-FunctionInterrupt","True","False","False","False",
"Resolve-SqlIpAddress","True","False","False","False",
"Test-SqlSa","True","False","False","False",
"Resolve-IpAddress","True","False","False","False",
"Restore-Database","True","False","False","False",
"Update-SqlDbOwner","True","False","False","False",
"Convert-DbVersionToSqlVersion","True","False","False","False",
"Rename-LogicalFile","True","False","False","False",
"Restore-DBFromFilteredArray","True","False","False","False",
"Test-SqlQueryComplete","True","False","False","False",
"Show-Notification","True","False","False","False",
"Test-PSRemoting","True","False","False","False",
"Test-SqlAgent","True","False","False","False",
"Get-OlaHRestoreFile","True","False","False","False",
