#TYPE Selected.System.Management.Automation.PSCustomObject
"Name","Syntax","Pipeline","CodeStyle","FlowControl","Messaging","FunctionName","SilentParameter","BreakContinue","DeprecatedVerbostyCommands"
"Copy-SqlServerAgent","True","False","False","False","False","False","True","False",
"Get-DbaDiskSpace","True","False","False","False","False","True","True","False",
"Copy-SqlLinkedServer","True","False","False","False","False","False","True","False",
"Copy-SqlAuditSpecification","True","False","False","False","False","False","True","False",
"Get-SqlRegisteredServerName","True","False","False","False","False","False","True","False",
"Get-DbaAudit","True","False","False","False","False","True","True","False",
"Repair-SqlOrphanUser","True","False","False","False","False","False","True","False",
"Set-SqlTempDbConfiguration","True","False","False","False","False","False","True","False",
"Show-SqlDatabaseList","True","False","False","False","False","False","True","False",
"Get-DbaConfigValue","True","False","False","False","False","True","True","False",
"Get-DbaMsdtc","True","False","False","False","False","True","True","False",
"Copy-SqlLogin","True","False","False","False","False","False","True","False",
"Reset-SqlAdmin","True","False","False","False","False","False","True","False",
"Copy-SqlSsisCatalog","True","False","False","False","False","False","True","False",
"Get-DbaDatabaseEncryption","True","False","False","False","False","True","True","False",
"Copy-SqlSpConfigure","True","False","False","False","False","False","True","False",
"Expand-SqlTLogResponsibly","True","False","False","False","False","False","True","False",
"Copy-SqlEndpoint","True","False","False","False","False","False","True","False",
"Get-DbaMemoryUsage","True","False","False","False","False","True","True","False",
"Get-DbaLocaleSetting","True","False","False","False","False","True","True","False",
"Get-DbaAgentOperator","True","False","False","False","False","True","True","False",
"Get-DbaQueryExecutionTime","True","False","False","False","False","True","True","False",
"Get-DbaRunningJob","True","False","False","False","False","True","True","False",
"Test-DbaIdentityUsage","True","False","False","False","False","True","True","False",
"Test-DbaFullRecoveryModel","True","False","False","False","False","True","True","False",
"Get-DbaEndpoint","True","False","False","False","False","True","True","False",
"New-DbaSsisCatalog","True","False","False","False","False","True","True","False",
"New-DbaSqlDirectory","True","False","False","False","False","True","True","False",
"Get-DbaXEventsSession","True","False","False","False","False","True","True","False",
"Get-DbaPageFileSetting","True","False","False","False","False","True","True","False",
"Find-DbaAgentJob","True","False","False","False","False","True","True","False",
"Get-DbaProcess","True","False","False","False","False","True","True","False",
"Get-DbaSqlService","True","False","False","False","False","True","True","False",
"Find-SqlUnusedIndex","True","False","False","False","False","False","True","False",
"Get-SqlServerKey","True","False","False","False","False","False","True","False",
"Stop-DbaProcess","True","False","False","False","False","True","True","False",
"Export-SqlLogin","True","False","False","False","False","False","True","False",
"Test-DbaPowerPlan","True","False","False","False","False","True","True","False",
"Get-DbaDatabase","True","False","False","False","False","True","True","False",
"Measure-DbaBackupThroughput","True","False","False","False","False","True","True","False",
"Test-DbaDiskAlignment","True","False","False","False","False","True","True","False",
"Set-DbaMaxMemory","True","False","False","False","False","True","True","False",
"Test-DbaVirtualLogFile","True","False","False","False","False","True","True","False",
"Show-SqlServerFileSystem","True","False","False","False","False","False","True","False",
"Connect-DbaSqlServer","True","False","False","False","False","True","True","False",
"Get-DbaServerAuditSpecification","True","False","False","False","False","True","True","False",
"Get-DbaAvailabilityGroup","True","False","False","False","False","True","True","False",
"Resolve-DbaNetworkName","True","False","False","False","False","True","True","False",
"Copy-SqlPolicyManagement","True","False","False","False","False","False","True","False",
"Test-DbaSpn","True","False","False","False","False","True","True","False",
"Find-SqlDuplicateIndex","True","False","False","False","False","False","True","False",
"Find-DbaLoginInGroup","True","False","False","False","False","True","True","False",
"Copy-SqlResourceGovernor","True","False","False","False","False","False","True","False",
